team,id,o,os,d,ds,h,hs
Albacete,1,-0.37207899045583714,0.22086620216879405,0.10516225380425381,0.2077148851926038,0.39117832013431003,0.06182154041557178
Alcorcón,2,-0.3224157889122791,0.22152635825238054,0.19607790887596432,0.2139968952471929,0.39117832013431003,0.06182154041557178
Almería,3,-0.2926809902966152,0.2183088565877443,0.12463886938044055,0.20752383132709604,0.39117832013431003,0.06182154041557178
Barcelona II,4,-0.09560873991304314,0.2084488980453734,-0.06262700508402509,0.2013545089292944,0.39117832013431003,0.06182154041557178
Cádiz,5,-0.20945224371093935,0.21117939830304455,0.5504905967246548,0.23451780420222107,0.39117832013431003,0.06182154041557178
Córdoba,6,0.1272776973610429,0.19992132135801402,-0.25870348051106934,0.1926454833712622,0.39117832013431003,0.06182154041557178
Cultural Leonesa,7,0.07487676964814582,0.20120274430248236,-0.28350366645756636,0.192796492703576,0.39117832013431003,0.06182154041557178
Gimnàstic Tarragona,8,-0.14527348260906942,0.2116380568951039,0.015110181156245014,0.20445996680805342,0.39117832013431003,0.06182154041557178
Granada,9,0.07877048725426791,0.2001897667405308,0.005916661797576643,0.20343465009487086,0.39117832013431003,0.06182154041557178
Huesca,10,0.17007399934853543,0.19742749396725176,0.2195626174404731,0.2146626671098234,0.39117832013431003,0.06182154041557178
Lorca,11,-0.29800729977198354,0.22082102789064434,-0.2833630735210481,0.19071155914151194,0.39117832013431003,0.06182154041557178
Lugo,12,-0.2665542345979906,0.2175420643232475,0.06004603705536707,0.2061645475307471,0.39117832013431003,0.06182154041557178
Numancia,13,-0.0027133913402606633,0.200566727729974,0.18773577104784533,0.20777950317367053,0.39117832013431003,0.06182154041557178
Osasuna,14,-0.159124656830388,0.21098886495397748,0.3956514010796475,0.224362565104161,0.39117832013431003,0.06182154041557178
Rayo Vallecano,15,0.27318278812321706,0.19333436858146383,0.035350932411504825,0.20560935085986115,0.39117832013431003,0.06182154041557178
Real Oviedo,16,0.057233157155838474,0.2025189306991411,0.04507405213263406,0.20542052104443112,0.39117832013431003,0.06182154041557178
Real Valladolid,17,0.34992699794315196,0.1880189187627348,-0.05593551711213901,0.1984076983834978,0.39117832013431003,0.06182154041557178
Real Zaragoza,18,0.10269125889395148,0.19747483243576436,0.11216883528677561,0.20696355688463736,0.39117832013431003,0.06182154041557178
Reus Deportiu,19,-0.4932303588561462,0.22883214183065764,0.1987768168092448,0.21358612158885962,0.39117832013431003,0.06182154041557178
Sevilla II,20,-0.5419515270256012,0.23582663028011602,-0.1514298134709608,0.19525837549211922,0.39117832013431003,0.06182154041557178
Sporting Gijón,21,0.1388220277657321,0.19593619267624524,0.17290172353151498,0.20997085302833277,0.39117832013431003,0.06182154041557178
Tenerife,22,0.13059296310457474,0.1982194898128309,0.002850589264244995,0.20189234373478726,0.39117832013431003,0.06182154041557178
